Test Case ID,Module,Test Case Description,Steps,Expected Result,Actual Result,Comments
QC_01,Query Configuration,Verify that the user can login successfully with valid Super Admin credentials.,"1. Navigate to the login page.
2. Enter valid Super Admin username and password.
3. Click 'Login'.",User is redirected to the Dashboard and a success message is displayed.,,
QC_02,Query Configuration,Verify that the 'Ticket Configuration' menu is visible in the sidebar.,"1. Look at the left sidebar navigation menu.
2. Locate the 'Ticket Configuration' item.",'Ticket Configuration' is visible under the management/admin section.,,
QC_03,Query Configuration,Verify that clicking 'Ticket Configuration' navigates to the project selection page.,1. Click on 'Ticket Configuration' in the sidebar.,The system navigates to /ticket-config and displays the project list.,,
QC_04,Query Configuration,Verify that the search bar correctly filters projects to show 'Auto12'.,"1. Locate the search bar.
2. Type 'Auto12'.",Only the 'Auto12' project card is displayed in the list.,,
QC_05,Query Configuration,Verify that clicking the 'Auto12' project card opens the configuration settings.,1. Click on the 'Auto12' project card.,The system navigates to the detailed settings page for project 'Auto12'.,,
QC_06,Query Configuration,Verify that the 'Ticket Numbering' tab is active by default.,1. Observe the landing view of the settings page.,The 'Ticket Numbering' tab is highlighted and its fields are visible.,,
QC_07,Query Configuration,"Verify that entering a Prefix (e.g., 'A12') updates the preview format.","1. Enter 'A12' in the Prefix textbox.
2. Observe the preview panel.",The preview reflects the new format: A12-2026-0001.,,
QC_08,Query Configuration,"Verify that entering a Starting Number (e.g., '100') updates the preview sequence.",1. Enter '100' in the Starting Number field.,"The preview updates to show the starting number (e.g., A12-2026-0100).",,
QC_09,Query Configuration,"Verify that selecting a Separator (e.g., '/') updates the preview correctly.",1. Select '/' from the Separator dropdown.,"The preview format changes to use the selected separator (e.g., A12/2026/0100).",,
QC_10,Query Configuration,Verify that toggling 'Include Year' adds the current year to the preview.,1. Toggle 'Include Year' to ON.,The current year (2026) is visible in the preview format.,,
QC_11,Query Configuration,Verify that toggling 'Include Month' adds the current month to the preview.,1. Toggle 'Include Month' to ON.,The current month is visible in the preview format.,,
QC_12,Query Configuration,Verify that selecting 'Reset Frequency' (Yearly/Monthly) is saved.,1. Select 'Monthly' from the Reset Frequency dropdown.,The selection is accepted and displayed in the dropdown.,,
QC_13,Query Configuration,Verify that clicking 'Save All Changes' persists the numbering settings.,1. Click 'Save All Changes'.,A success toast 'Saved!' is displayed.,,
QC_14,Query Configuration,"Verify that after saving and refreshing, the numbering changes remain updated.",1. Refresh the browser page.,"Prefix, Starting Number, and Format remain exactly as saved previously.",,
QC_15,Query Configuration,Verify that clicking the 'Ticket Statuses' tab displays the list of statuses.,1. Click on the 'Ticket Statuses' tab.,A table of all current statuses for 'Auto12' is displayed.,,
QC_16,Query Configuration,Verify that clicking '+ Add Status' opens the status creation modal.,1. Click the '+ Add Status' button.,The 'Add Status' modal opens with empty fields.,,
QC_17,Query Configuration,Verify that entering a Status Name auto-generates the Status Code.,1. Type 'Pending Verification' in the Name field.,The Code field is automatically filled with 'PENDING_VERIFICATION'.,,
QC_18,Query Configuration,Verify that selecting a color from the palette updates the status icon preview.,"1. Select a custom color (e.g., Purple) from the color picker.",The status icon in the list/preview updates to the selected color.,,
QC_19,Query Configuration,Verify that toggling 'Set as Default Status' marks it as the entry status.,1. Toggle 'Set as Default Status' to ON.,The status is marked as default (only one status can be default).,,
QC_20,Query Configuration,Verify that toggling 'This Status Closes Tickets' marks it as a terminal status.,1. Toggle 'This Status Closes Tickets' to ON.,The status is marked as a closing status.,,
QC_21,Query Configuration,Verify that saving a new status adds it to the table and summary.,1. Click 'Save' in the modal.,The status 'Pending Verification' appears in the table and the summary panel.,,
QC_22,Query Configuration,Verify that clicking 'Edit' allows modification of an existing status.,"1. Click 'Edit' on an existing status.
2. Change the color.
3. Click 'Save'.",The status color is updated successfully in the list.,,
QC_23,Query Configuration,Verify that clicking 'Delete' removes the status from the project.,"1. Click 'Delete' on a status.
2. Confirm deletion.",The status is removed from the table and summary panel.,,
QC_24,Query Configuration,Verify that [NEG] saving a status without a name displays a validation error.,"1. Open Add Status modal.
2. Leave Name empty.
3. Click 'Save'.",System displays 'Name is required' error message.,,
QC_25,Query Configuration,Verify that all status changes persist after a page refresh.,1. Refresh the page.,All added/edited statuses are correctly displayed.,,
QC_26,Query Configuration,Verify that clicking the 'Ticket Categories' tab displays all categories.,1. Click on the 'Ticket Categories' tab.,List of categories for 'Auto12' is visible.,,
QC_27,Query Configuration,Verify that clicking '+ Add Category' opens the category modal.,1. Click the '+ Add Category' button.,The 'Add Category' modal appears.,,
QC_28,Query Configuration,Verify that selecting a 'Default Priority' for a category is saved.,1. Select 'High' from the Default Priority dropdown.,The priority selection is visible and saved.,,
QC_29,Query Configuration,Verify that adding a description and color to a category works correctly.,"1. Enter a description.
2. Choose a color.",Description and color are assigned to the category correctly.,,
QC_30,Query Configuration,Verify that toggling a category to 'Inactive' hides it from end-users.,1. Toggle 'Active' switch to OFF.,The category appears grayed out in the list and is marked as Inactive.,,
QC_31,Query Configuration,Verify that saving a new category adds it to the configuration summary.,1. Click 'Save' in the modal.,The new category appears in the 'Configured Categories' list in the right panel.,,
QC_32,Query Configuration,Verify that clicking 'Edit' allows updating category details.,"1. Click 'Edit' on a category.
2. Change priority to 'Medium'.
3. Save.",The category priority is updated successfully.,,
QC_33,Query Configuration,Verify that clicking 'Delete' removes the category after confirmation.,"1. Click 'Delete' on a category.
2. Confirm.",The category is deleted from the list.,,
QC_34,Query Configuration,Verify that [NEG] adding a category with a duplicate name displays an error.,1. Attempt to add a category with an existing name.,System displays an error message regarding duplicate category.,,
QC_35,Query Configuration,Verify that category changes are persisted after re-entering the project.,"1. Navigate back to Project list.
2. Re-enter 'Auto12' config.",All category changes are visible as saved.,,
QC_36,Query Configuration,Verify that clicking the 'Form Fields' tab shows the submission form config.,1. Click on the 'Form Fields' tab.,Current custom fields for 'Auto12' are displayed.,,
QC_37,Query Configuration,Verify that clicking '+ Add Field' adds a new field row to the list.,1. Click the '+ Add Field' button.,A new empty field row is added to the configuration list.,,
QC_38,Query Configuration,Verify that selecting 'Text' field type allows entering name and placeholder.,"1. Choose 'Text' type.
2. Enter Name 'Employee ID' and Placeholder 'Enter ID'.",The field settings are accepted.,,
QC_39,Query Configuration,Verify that selecting 'Dropdown' field type enables the 'Options' input area.,1. Select 'Dropdown' as field type.,An 'Options' text area appears below the field type selector.,,
QC_40,Query Configuration,Verify that entering comma-separated options for a dropdown is saved correctly.,"1. Enter 'HR, Finance, Tech' in options area.",The options are parsed and stored correctly.,,
QC_41,Query Configuration,Verify that selecting 'Date' field type is saved.,1. Select 'Date' field type.,Field is configured as a date picker.,,
QC_42,Query Configuration,Verify that selecting 'File Upload' type allows setting size limits.,"1. Select 'File Upload' type.
2. Set limit to '10MB'.",File upload field is configured with 10MB limit.,,
QC_43,Query Configuration,Verify that toggling 'Required' marks the field as mandatory in the UI.,1. Toggle 'Required' checkbox to ON.,The field is marked as mandatory (*).,,
QC_44,Query Configuration,Verify that reordering fields using the drag handle updates the display order.,1. Click and drag a field handle to a new position.,The field row moves and maintains its new position in the list.,,
QC_45,Query Configuration,Verify that clicking 'Delete' on a field row removes it from the form.,1. Click the 'Delete' icon on a field row.,The field is immediately removed from the list.,,
QC_46,Query Configuration,Verify that [NEG] saving a field without a name displays an error.,"1. Add a field.
2. Leave Name empty.
3. Click Save.",System displays 'Field name is required' error.,,
QC_47,Query Configuration,Verify that clicking 'Save All Changes' persists the form fields to the project.,1. Click 'Save All Changes'.,Success message is displayed.,,
QC_48,Query Configuration,"Verify that after saving, the form fields appear in the correct order after refresh.",1. Refresh the page.,Form fields are displayed in the exact order and configuration saved.,,
QC_49,Query Configuration,Verify that clicking the 'Table Columns' tab shows all available columns.,1. Click on the 'Table Columns' tab.,A list of system and custom columns is displayed with checkboxes.,,
QC_50,Query Configuration,"Verify that checking a column (e.g., 'Priority') makes it visible in the list.",1. Check the 'Priority' checkbox.,The column is marked for visibility.,,
QC_51,Query Configuration,Verify that unchecking a column removes it from the default view.,1. Uncheck the 'Tags' checkbox.,The column is marked to be hidden.,,
QC_52,Query Configuration,"Verify that selecting 'Default Sort' (e.g., 'Ticket ID') is saved.",1. Select 'Ticket ID' from Default Sort dropdown.,The sorting preference is accepted.,,
QC_53,Query Configuration,Verify that changing 'Sort Direction' (Asc/Desc) is saved.,1. Select 'Descending' from the sort order.,The sort direction is saved.,,
QC_54,Query Configuration,Verify that system-required columns are locked and cannot be hidden.,1. Attempt to uncheck 'Ticket ID'.,The checkbox for 'Ticket ID' is disabled/read-only.,,
QC_55,Query Configuration,Verify that clicking 'Save All Changes' persists the table column configuration.,1. Click 'Save All Changes'.,Success message is displayed.,,
QC_56,Query Configuration,Verify that column settings remain unchanged after page navigation.,1. Navigate away and return.,Column visibility and sorting settings remain as configured.,,
QC_57,Query Configuration,Verify that 'Form Fields' allows configuring 'Radio Buttons' with multiple options.,"1. Add field of type 'Radio Buttons'.
2. Enter 'Yes, No' in options.",Options are displayed and selectable in the form preview.,,
QC_58,Query Configuration,Verify that 'Form Fields' allows configuring 'Multi-Select' dropdowns.,"1. Add field of type 'Multi-Select'.
2. Enter options.",Multi-select functionality is enabled for this field.,,
QC_59,Query Configuration,Verify that 'Form Fields' allows configuring 'Number' fields with validation.,1. Add field of type 'Number'.,Field accepts numeric input only.,,
QC_60,Query Configuration,Verify that 'Form Fields' allows configuring 'Link/URL' fields.,1. Add field of type 'Link (URL)'.,Field is configured to accept URL format.,,
QC_61,Query Configuration,Verify that 'Form Fields' allows configuring 'Textarea' (Long Text) fields.,1. Add field of type 'Textarea'.,Field is rendered as a multi-line text input.,,
